Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-11-13,60.99,61.95,60.84,61.7,61.46,2964700,0.0,0.0
2019-11-14,61.48,61.99,61.08,61.95,61.71,2464900,0.0,0.0
2019-11-15,62.8,63.3,62.38,63.3,63.06,3131800,0.0,0.0
2019-11-18,63.12,63.56,62.81,63.41,63.17,1762800,0.0,0.0
2019-11-19,63.81,63.81,62.91,63.32,63.08,2306700,0.0,0.0
2019-11-20,62.95,63.26,61.58,62.64,62.4,3078000,0.0,0.0
2019-11-21,62.64,62.71,61.77,62.33,62.09,1912500,0.0,0.0
2019-11-22,62.79,62.85,62.04,62.69,62.45,1591200,0.0,0.0
2019-11-25,63.32,64.15,63.32,64.13,63.88,1928300,0.0,0.0
2019-11-26,64.21,64.69,63.96,64.53,64.28,1716300,0.0,0.0
2019-11-27,64.92,65.4,64.73,65.37,65.12,1821600,0.0,0.0
2019-11-29,65.02,65.18,64.52,64.69,64.44,1118100,0.0,0.0
2019-12-02,64.85,64.87,62.73,63.03,62.79,3993800,0.0,0.0
2019-12-03,61.2,61.78,60.27,61.74,61.5,3864100,0.0,0.0
2019-12-04,62.42,63.26,62.2,62.84,62.6,2541700,0.0,0.0
2019-12-05,63.31,63.32,62.31,63.21,62.97,2099900,0.0,0.0
2019-12-06,64.47,65.18,64.45,64.88,64.63,2882100,0.0,0.0
2019-12-09,64.63,65.09,64.24,64.3,64.05,1347200,0.0,0.0
2019-12-10,64.23,64.7,63.63,64.05,63.8,2020600,0.0,0.0
2019-12-11,64.37,64.78,64.1,64.59,64.34,2458900,0.0,0.0
2019-12-12,64.58,66.78,64.42,66.25,66.0,5184200,0.0,0.0
2019-12-13,66.08,67.21,65.55,66.36,66.11,4108300,0.0,0.0
2019-12-16,67.55,68.14,67.53,67.75,67.49,2311800,0.0,0.0
2019-12-17,67.97,68.19,67.72,67.76,67.5,1868600,0.0,0.0
2019-12-18,68.02,68.19,67.74,67.75,67.49,1442900,0.0,0.0
2019-12-19,67.84,68.61,67.83,68.56,68.3,2337100,0.0,0.0
2019-12-20,69.3,69.92,69.25,69.6,69.33,2710400,0.0,0.0
2019-12-23,70.02,70.03,69.66,69.8,69.53,1621700,0.0,0.0
2019-12-24,69.82,69.84,69.44,69.68,69.51,869600,0.101,0.0
2019-12-26,69.9,70.72,69.89,70.7,70.53,1414000,0.0,0.0
2019-12-27,71.27,71.28,70.3,70.67,70.5,2101500,0.0,0.0
2019-12-30,70.73,70.81,69.14,69.5,69.33,2820300,0.0,0.0
2019-12-31,69.1,70.15,68.88,70.01,69.84,2161100,0.0,0.0
2020-01-02,71.07,71.91,70.38,71.9,71.73,2742100,0.0,0.0
2020-01-03,69.45,71.08,69.4,70.34,70.17,3217400,0.0,0.0
2020-01-06,68.99,71.11,68.93,71.07,70.9,2336900,0.0,0.0
2020-01-07,70.67,70.98,70.13,70.45,70.28,1935600,0.0,0.0
2020-01-08,70.61,72.43,70.41,71.54,71.37,3804500,0.0,0.0
2020-01-09,72.71,73.05,72.26,73.0,72.83,2128700,0.0,0.0
2020-01-10,73.44,73.53,72.03,72.38,72.21,2431500,0.0,0.0
2020-01-13,72.83,73.85,72.5,73.84,73.66,1773500,0.0,0.0
2020-01-14,73.53,74.27,73.1,73.49,73.31,2652700,0.0,0.0
2020-01-15,73.44,74.55,73.36,74.0,73.82,3464700,0.0,0.0
2020-01-16,74.98,75.8,74.8,75.8,75.62,1981100,0.0,0.0
2020-01-17,76.33,76.65,75.89,76.51,76.33,3455500,0.0,0.0
2020-01-21,75.75,76.63,75.71,76.08,75.9,2517300,0.0,0.0
2020-01-22,76.69,77.16,75.96,76.12,75.94,1695300,0.0,0.0
2020-01-23,75.56,76.41,74.7,76.28,76.1,2589500,0.0,0.0
2020-01-24,76.8,76.82,73.27,74.23,74.05,5370200,0.0,0.0
2020-01-27,70.36,71.74,70.07,70.68,70.51,6836400,0.0,0.0
